,1,2,3,4,5,6,7,8,9,10,11,12
A,F946R936 ,F946R937 ,F946R938 ,F946R943 ,F946R945 ,F946R946 ,F946R951 ,F946R959 ,F946R983 ,F946R986 ,F946R990 ,F946R996 
B,F947R936 ,F947R937 ,F947R938 ,F947R943 ,F947R945 ,F947R946 ,F947R951 ,F947R959 ,F947R983 ,F947R986 ,F947R990 ,F947R996 
C,F949R936 ,F949R937 ,F949R938 ,F949R943 ,F949R945 ,F949R946 ,F949R951 ,F949R959 ,F949R983 ,F949R986 ,F949R990 ,F949R996 
D,F951R936 ,F951R937 ,F951R938 ,F951R943 ,F951R945 ,F951R946 ,F951R951 ,F951R959 ,F951R983 ,F951R986 ,F951R990 ,F951R996 
E,F953R936 ,F953R937 ,F953R938 ,F953R943 ,F953R945 ,F953R946 ,F953R951 ,F953R959 ,F953R983 ,F953R986 ,F953R990 ,F953R996 
F,F954R936 ,F954R937 ,F954R938 ,F954R943 ,F954R945 ,F954R946 ,F954R951 ,F954R959 ,F954R983 ,F954R986 ,F954R990 ,F954R996 
G,F962R936 ,F962R937 ,F962R938 ,F962R943 ,F962R945 ,F962R946 ,F962R951 ,F962R959 ,F962R983 ,F962R986 ,F962R990 ,F962R996 
H,F964R936 ,F964R937 ,F964R938 ,F964R943 ,F964R945 ,F964R946 ,F964R951 ,F964R959 ,F964R983 ,F964R986 ,F964R990 ,F964R996 
